id,title,title_sanskrit,domain,subdomain,summary,dosha_type,seasonal_relevance,state_of_origin,gen_z_hook,authenticity_score,source_url,tags,health_benefits,ingredients,keywords
f35cb9c2501c,Vedic Maths Sutras — Speed Computation,Vedic Ganita (वैदिक गणित),Vedic Mathematics,Computational Shortcuts,"Vedic Mathematics consists of 16 sutras (formulas) and 13 sub-sutras extracted from the Vedas by Swami Bharati Krishna Tirthaji in the early 20th century. These sutras provide remarkably efficient mental calculation methods — allowing multiplication of large numbers in 5 seconds, square roots mentally, and complex division without long division.",,,All India,No calculator. No paper. Large number multiplication in under 5 seconds. Ancient India did it. 🧮,0.25,https://www.indianculture.gov.in,,,,multiplication|sutras|numbers|division|shortfalls|answer|digits|vedic|mathematics|consists
a388ef6f1b0f,Jantar Mantar — Ancient Astronomical Observatory,Yantra Mantra (यन्त्र मन्त्र) — Instrument Formula,Ancient Astronomy,Observational Astronomy,"Jantar Mantar, built by Maharaja Jai Singh II in Jaipur (1734), is the world's largest stone astronomical observatory. Its 19 architectural instruments can measure time to within 2 seconds accuracy, predict eclipses, track star constellations, and determine the sun's distance — using no electronics, no computers, and no modern technology.",,,"Rajasthan (Jaipur) — also Delhi, Varanasi, Ujjain, Mathura","No satellites. No computers. Stone architecture that tells time to within 2 seconds. India, 1734. 🌌",0.06,https://www.indianculture.gov.in,,,,jantar|mantar|built|maharaja|singh|jaipur|world|largest|stone|astronomical
e08b229b1307,Siddha Medicine — Tamil Heritage of Healing,Siddha Vaidyam (சித்த வைத்தியம்),Siddha,Overview,"Siddha is one of the oldest medical systems in the world, practiced in Tamil Nadu for over 10,000 years according to traditional reckoning. It was developed by the 18 Siddhars — enlightened Tamil saints who combined medicine with yoga, alchemy, and astrology. Unlike Ayurveda which focuses on doshas, Siddha classifies the body through Muppini (three humours) — Vatam, Pittam, and Kapam.",,,Tamil Nadu (primarily),"Tamil medicine is 10,000 years old. It used mercury, sulfur, and minerals 5000 years before Paracelsus. 🌺",0.06,https://www.tkdl.res.in,pitta|vata|who-validated|yoga,,,siddha|tamil|oldest|medical|systems|world|practiced|years|according|reckoning
bf02600f24f8,Kabasura Kudineer — Siddha Respiratory Formula,Kabasura Kudineer (கபசுர குடிநீர்),Siddha,Respiratory Formulations,"Kabasura Kudineer is a classical Siddha decoction using 15 herbs, first described in the 'Siddha Maruthuvam' text. The Tamil Nadu government distributed it during COVID-19 to 30 million people as an approved prophylactic. Clinical trials showed significant reduction in viral load and symptom severity.",Kapam (Kapha) imbalance,"Monsoon, Winter",Tamil Nadu,"Tamil medicine: 10,000 years old and colonisation tried to erase it. 🌺",0.76,https://www.tkdl.res.in,5-minutes|ayush-approved|home-remedy|immunity|kapha|science-backed,Respiratory|Fever|Immunity|Viral Infections|Inflammation,Nilavembu (Kalmegh)|Seenthil Kodi (Giloy)|Neem|Ginger|Black Pepper|Dry Ginger|Long Pepper|Coriander|Omam (Ajwain)|Kottam|Kostam|Vattiveru|Chukku|Karpooravalli|Pippili,prophylactic|clinical|kabasura|kudineer|siddha|herbs|tamil|government|distributed|covid
174d25814aa6,Adivasi Forest Medicine — Chhattisgarh,,Tribal Knowledge,Forest Healing Traditions,"The Adivasi communities of Chhattisgarh have documented over 1200 medicinal plants in their oral tradition. The Baiga, Gond, and Saura tribes use plants unavailable in mainstream pharmacopeias. Their knowledge of forest ecologies and plant combinations represents a unique pharmaceutical resource threatened by deforestation and cultural loss.",,,"Chhattisgarh, Jharkhand, Odisha (Adivasi belt)",1200 medicinal plants. Zero textbooks. All in human memory. Being lost right now. 🌿,0.0,https://www.indianculture.gov.in,,,,plants|adivasi|communities|chhattisgarh|documented|medicinal|tradition|baiga|saura|tribes
3c6a88523cc5,Kalari Marma Therapy — Points of Life,Marma Chikitsa (मर्म चिकित्सा),Martial Arts,Kalaripayattu Healing,"Kalaripayattu (Kerala's ancient martial art) has an associated healing system called Kalari Chikitsa which includes Marma therapy — the stimulation of 107 vital energy points on the body. These Marma points (described in Sushruta Samhita) are the predecessors of acupuncture points, predating Chinese acupuncture by centuries.",,,"Kerala, Tamil Nadu","Acupuncture: China, 100 BCE. Marma therapy: India, 600 BCE. The original acupuncture was Indian. 📍",0.06,https://www.tkdl.res.in,energy,,,points|marma|acupuncture|kalaripayattu|kerala|martial|associated|healing|called|kalari
809904967edf,Unani — Greco-Persian Medicine in India,,Unani,Overview,"Unani medicine (Tibb-e-Unani, or 'Greek medicine') was transmitted from Greece through Persia and the Arab world, adopted and dramatically expanded by Indian Hakims over 800 years. The Indian Unani tradition produced unique formulations blending Greco-Arabic concepts with Indian medicinal plants, creating a distinct healing system practiced by 45,000+ practitioners in India today.",,,"Delhi, Uttar Pradesh, Andhra Pradesh (major centres)","Unani has been Indian for 800 years. Mughal emperors, Indian herbs, ancient Greek theory. The most multicultural medicine system. 🏛️",0.06,https://main.ayush.gov.in,,,,unani|medicine|greek|transmitted|greece|persia|world|adopted|dramatically|expanded
79dca5c8fbe7,Kalaripayattu — Mother of Martial Arts,,Martial Arts,Ancient Combat Arts,"Kalaripayattu from Kerala is widely considered the world's oldest martial art, predating kung fu and karate by centuries. Its techniques include high kicks, low sweeps, jumps, weapons training, and the therapeutic Marma system. Bodhidharma, an Indian monk trained in Kalaripayattu, is credited with transmitting the combat forms that became the foundation of Shaolin Kung Fu.",,,"Kerala (Northern and Southern styles), Tamil Nadu",The movie 'Enthiran' and countless Bollywood action sequences trace their fight choreography to Kalaripayattu. The original Indian martial art. 🥋,0.06,https://www.indianculture.gov.in,,,,kalaripayattu|kerala|widely|considered|world|oldest|martial|predating|karate|centuries
4ce6b24556ef,Bharatanatyam — The Dance of Truth,Bharatanatyam (भरतनाट्यम्),Arts & Culture,Classical Dance,"Bharatanatyam is one of the oldest classical dance forms in the world, originating in Tamil Nadu's temples. 'Bharata' refers to the Natya Shastra of Sage Bharata (200 BCE), 'Na' is natya (dance), 'tya' is gita (music), 'tyam' is vadya (rhythm). Every movement is a medicine for body and mind — recent research shows Bharatanatyam practitioners have higher bone density, flexibility, and lower cortisol levels.",,,Tamil Nadu (originally),"108 dance postures that are simultaneously yoga, storytelling, and physical therapy. 2000-year-old performance art from temple walls. 💃",0.06,https://www.ignca.gov.in,stress,,,bharatanatyam|dance|bharata|natya|oldest|classical|forms|world|originating|tamil
1d7d181b8a9e,Ayurvedic Seasonal Routine — Ritucharya,Ritucharya (ऋतुचर्या),Ayurveda,Seasonal Medicine,"Ritucharya is the Ayurvedic seasonal routine — a complete framework for adapting diet, lifestyle, exercise, and herbal support across India's six classical seasons (Ritu). Just as Dinacharya syncs the body with the day, Ritucharya syncs the body with the year. Failure to adapt to seasonal transitions is considered a primary cause of disease in Ayurveda.",All doshas (seasonal adjustments),Applied across all seasons,All India,Your body is not the same in summer and winter. Ayurveda built a complete protocol for this 3000 years ago. 📅,0.7,https://www.tkdl.res.in,digestion|energy|immunity|rasayana|tridoshic,Seasonal Immunity|Digestion|Energy|Prevention|Balance,,foods|water|season|ayurvedic|seasonal|exercise|winter|light|avoid|ritucharya
7388eda47f37,Abhyanga — Sacred Self-Massage,Abhyanga (अभ्यंग),Ayurveda,Dinacharya (Daily Practices),"Abhyanga is the daily self-massage with warm oil, a cornerstone of Ayurvedic dinacharya. Charaka writes: 'Abhyanga prevents aging, relieves fatigue, improves eyesight, nourishes the skin, and calms Vata.' Modern research confirms it reduces cortisol by 31%, improves lymphatic flow, and increases oxytocin and serotonin.","Vata (primary), all doshas with appropriate oil",All seasons,All India (especially South India — sesame oil tradition),Luxury spa Abhyanga massage: ₹5000/hour. DIY at home with ₹30 of sesame oil: same science. 🫒,0.76,https://www.tkdl.res.in,anxiety|energy|for-elderly|immunity|kitchen-ingredients|rasayana|science-backed|skin|sleep|stress|tridoshic|vata,Skin|Sleep|Stress|Joint Pain|Immunity|Circulation|Anti-aging,Sesame Oil (Vata)|Coconut Oil (Pitta)|Mustard Oil (Kapha),massage|increases|abhyanga|improves|reduces|cortisol|lymphatic|oxytocin|sesame|circular
